Data/Folder/File, TRUE label, CLASSIFIED label
('data/071/000', 'spam') spam
('data/071/001', 'ham') ham
('data/071/002', 'spam') ham
('data/071/003', 'spam') spam
('data/071/004', 'spam') spam
('data/071/005', 'spam') spam
('data/071/006', 'spam') spam
('data/071/007', 'spam') spam
('data/071/008', 'spam') spam
('data/071/009', 'ham') ham
('data/071/010', 'ham') ham
('data/071/011', 'ham') ham
('data/071/012', 'spam') spam
('data/071/013', 'ham') ham
('data/071/014', 'ham') ham
('data/071/015', 'ham') ham
('data/071/016', 'ham') ham
('data/071/017', 'ham') ham
('data/071/018', 'spam') spam
('data/071/019', 'spam') spam
('data/071/020', 'spam') spam
('data/071/021', 'ham') ham
('data/071/022', 'spam') spam
('data/071/023', 'spam') spam
('data/071/024', 'ham') ham
('data/071/025', 'ham') ham
('data/071/026', 'ham') ham
('data/071/027', 'ham') ham
('data/071/028', 'ham') ham
('data/071/029', 'spam') spam
('data/071/030', 'ham') ham
('data/071/031', 'ham') ham
('data/071/032', 'ham') ham
('data/071/033', 'ham') ham
('data/071/034', 'ham') ham
('data/071/035', 'spam') spam
('data/071/036', 'ham') ham
('data/071/037', 'ham') ham
('data/071/038', 'ham') ham
('data/071/039', 'ham') ham
('data/071/040', 'ham') ham
('data/071/041', 'spam') spam
('data/071/042', 'spam') spam
('data/071/043', 'ham') ham
('data/071/044', 'spam') spam
('data/071/045', 'spam') spam
('data/071/046', 'spam') ham
('data/071/047', 'spam') spam
('data/071/048', 'spam') spam
('data/071/049', 'spam') spam
('data/071/050', 'ham') ham
('data/071/051', 'spam') spam
('data/071/052', 'ham') ham
('data/071/053', 'ham') ham
('data/071/054', 'ham') ham
('data/071/055', 'spam') spam
('data/071/056', 'spam') ham
('data/071/057', 'ham') ham
('data/071/058', 'ham') ham
('data/071/059', 'ham') ham
('data/071/060', 'spam') spam
('data/071/061', 'ham') ham
('data/071/062', 'ham') ham
('data/071/063', 'ham') ham
('data/071/064', 'ham') ham
('data/071/065', 'spam') spam
('data/071/066', 'spam') spam
('data/071/067', 'ham') ham
('data/071/068', 'ham') ham
('data/071/069', 'ham') ham
('data/071/070', 'ham') ham
('data/071/071', 'ham') ham
('data/071/072', 'spam') spam
('data/071/073', 'spam') spam
('data/071/074', 'spam') spam
('data/071/075', 'spam') spam
('data/071/076', 'spam') spam
('data/071/077', 'spam') ham
('data/071/078', 'spam') spam
('data/071/079', 'ham') ham
('data/071/080', 'ham') ham
('data/071/081', 'spam') spam
('data/071/082', 'spam') spam
('data/071/083', 'spam') spam
('data/071/084', 'spam') spam
('data/071/085', 'spam') spam
('data/071/086', 'spam') spam
('data/071/087', 'spam') spam
('data/071/088', 'spam') spam
('data/071/089', 'ham') ham
('data/071/090', 'spam') spam
('data/071/091', 'spam') spam
('data/071/092', 'spam') spam
('data/071/093', 'ham') ham
('data/071/094', 'spam') spam
('data/071/095', 'spam') spam
('data/071/096', 'ham') ham
('data/071/097', 'spam') spam
('data/071/098', 'ham') ham
('data/071/099', 'spam') spam
('data/071/100', 'ham') ham
('data/071/101', 'spam') spam
('data/071/102', 'ham') ham
('data/071/103', 'spam') spam
('data/071/104', 'spam') spam
('data/071/105', 'spam') spam
('data/071/106', 'spam') spam
('data/071/107', 'spam') spam
('data/071/108', 'spam') spam
('data/071/109', 'spam') spam
('data/071/110', 'spam') spam
('data/071/111', 'spam') spam
('data/071/112', 'ham') ham
('data/071/113', 'ham') ham
('data/071/114', 'spam') spam
('data/071/115', 'spam') ham
('data/071/116', 'ham') ham
('data/071/117', 'ham') ham
('data/071/118', 'ham') ham
('data/071/119', 'spam') spam
('data/071/120', 'spam') spam
('data/071/121', 'ham') ham
('data/071/122', 'ham') ham
('data/071/123', 'spam') spam
('data/071/124', 'ham') ham
('data/071/125', 'spam') spam
('data/071/126', 'spam') ham
('data/071/127', 'spam') ham
('data/071/128', 'ham') ham
('data/071/129', 'spam') spam
('data/071/130', 'spam') spam
('data/071/131', 'spam') spam
('data/071/132', 'ham') ham
('data/071/133', 'spam') spam
('data/071/134', 'spam') spam
('data/071/135', 'spam') spam
('data/071/136', 'spam') ham
('data/071/137', 'spam') spam
('data/071/138', 'spam') spam
('data/071/139', 'spam') spam
('data/071/140', 'spam') spam
('data/071/141', 'spam') spam
('data/071/142', 'spam') spam
('data/071/143', 'ham') ham
('data/071/144', 'spam') spam
('data/071/145', 'spam') ham
('data/071/146', 'spam') spam
('data/071/147', 'spam') spam
('data/071/148', 'spam') spam
('data/071/149', 'spam') spam
('data/071/150', 'ham') ham
('data/071/151', 'ham') ham
('data/071/152', 'ham') ham
('data/071/153', 'ham') ham
('data/071/154', 'spam') spam
('data/071/155', 'spam') spam
('data/071/156', 'spam') spam
('data/071/157', 'spam') spam
('data/071/158', 'spam') spam
('data/071/159', 'spam') spam
('data/071/160', 'spam') spam
('data/071/161', 'spam') ham
('data/071/162', 'spam') spam
('data/071/163', 'spam') spam
('data/071/164', 'spam') ham
('data/071/165', 'spam') spam
('data/071/166', 'spam') spam
('data/071/167', 'ham') ham
('data/071/168', 'spam') spam
('data/071/169', 'spam') spam
('data/071/170', 'spam') ham
('data/071/171', 'spam') ham
('data/071/172', 'spam') spam
('data/071/173', 'spam') spam
('data/071/174', 'spam') spam
('data/071/175', 'spam') spam
('data/071/176', 'spam') spam
('data/071/177', 'ham') ham
('data/071/178', 'ham') ham
('data/071/179', 'ham') ham
('data/071/180', 'ham') ham
('data/071/181', 'ham') ham
('data/071/182', 'ham') ham
('data/071/183', 'ham') ham
('data/071/184', 'spam') ham
('data/071/185', 'spam') spam
('data/071/186', 'spam') spam
('data/071/187', 'spam') spam
('data/071/188', 'ham') ham
('data/071/189', 'spam') spam
('data/071/190', 'ham') ham
('data/071/191', 'spam') spam
('data/071/192', 'spam') spam
('data/071/193', 'spam') spam
('data/071/194', 'spam') spam
('data/071/195', 'spam') spam
('data/071/196', 'spam') spam
('data/071/197', 'ham') ham
('data/071/198', 'ham') ham
('data/071/199', 'ham') ham
('data/071/200', 'ham') ham
('data/071/201', 'ham') ham
('data/071/202', 'ham') ham
('data/071/203', 'ham') ham
('data/071/204', 'ham') ham
('data/071/205', 'spam') spam
('data/071/206', 'spam') spam
('data/071/207', 'spam') spam
('data/071/208', 'spam') spam
('data/071/209', 'ham') ham
('data/071/210', 'spam') spam
('data/071/211', 'spam') spam
('data/071/212', 'spam') spam
('data/071/213', 'spam') spam
('data/071/214', 'spam') ham
('data/071/215', 'spam') spam
('data/071/216', 'spam') spam
('data/071/217', 'spam') spam
('data/071/218', 'spam') spam
('data/071/219', 'ham') ham
('data/071/220', 'spam') spam
('data/071/221', 'spam') spam
('data/071/222', 'spam') spam
('data/071/223', 'ham') ham
('data/071/224', 'spam') spam
('data/071/225', 'spam') spam
('data/071/226', 'ham') ham
('data/071/227', 'spam') spam
('data/071/228', 'spam') spam
('data/071/229', 'spam') spam
('data/071/230', 'spam') spam
('data/071/231', 'ham') ham
('data/071/232', 'spam') spam
('data/071/233', 'ham') ham
('data/071/234', 'ham') ham
('data/071/235', 'ham') ham
('data/071/236', 'spam') spam
('data/071/237', 'ham') ham
('data/071/238', 'ham') ham
('data/071/239', 'spam') spam
('data/071/240', 'spam') spam
('data/071/241', 'ham') ham
('data/071/242', 'spam') spam
('data/071/243', 'spam') spam
('data/071/244', 'spam') spam
