Top 5000 words, Total Occurences, Spam Occurences, Ham Occurences

('http', 13057) 10933 2124
('com', 10099) 8021 2078
('html', 8450) 7375 1075
('b', 7819) 7384 435
('type', 7583) 6828 755
('text', 7529) 6932 597
('p', 7343) 6789 554
('content', 7319) 6887 432
('transfer', 6856) 6453 403
('body', 6821) 6525 296
('message', 6807) 5228 1579
('encoding', 6768) 6401 367
('href', 6468) 6395 73
('charset', 6437) 6054 383
('br', 6372) 6260 112
('plain', 6329) 5898 431
('head', 6168) 5910 258
('us', 6115) 5482 633
('part', 6003) 5238 765
('u', 5684) 5309 375
('meta', 5652) 5492 160
('equiv', 5619) 5464 155
('c', 5566) 4038 1528
('format', 5558) 5130 428
('mime', 5514) 5139 375
('size', 5444) 5069 375
('multi', 5420) 5132 288
('font', 5415) 5216 199
('www', 5415) 3611 1804
('en', 5356) 5132 224
('bgcolor', 5016) 4870 146
('e', 4889) 3720 1169
('info', 4593) 4128 465
('color', 4564) 4365 199
('border', 4525) 4492 33
('g', 4348) 3901 447
('width', 4301) 4224 77
('table', 4274) 4162 112
('center', 4203) 3996 207
('one', 4177) 1953 2224
('td', 4174) 4152 22
('tr', 4159) 4133 26
('align', 4039) 4018 21
('n', 3881) 3481 400
('r', 3857) 3437 420
('get', 3852) 1623 2229
('windows', 3833) 3412 421
('title', 3789) 3661 128
('l', 3614) 3290 324
('v', 3588) 3270 318
('face', 3530) 3406 124
('quoted', 3414) 3176 238
('printable', 3386) 3172 214
('like', 3384) 1409 1975
('iso', 3312) 3098 214
('target', 3274) 3194 80
('please', 3271) 1924 1347
('x', 3252) 2468 784
('hi', 3222) 1446 1776
('name', 3217) 2577 640
('campaign', 3153) 2900 253
('public', 3053) 2789 264
('div', 3002) 2855 147
('ffffff', 2998) 2860 138
('would', 2957) 671 2286
('nbsp', 2947) 2777 170
('white', 2933) 2827 106
('website', 2922) 2737 185
('use', 2865) 543 2322
('dtd', 2854) 2686 168
('also', 2849) 1184 1665
('doctype', 2847) 2680 167
('f', 2827) 2245 582
('style', 2823) 2698 125
('new', 2795) 1701 1094
('language', 2791) 2595 196
('help', 2750) 1201 1549
('transitional', 2744) 2675 69
('right', 2708) 2021 687
('k', 2695) 2506 189
('see', 2687) 1655 1032
('j', 2659) 2090 569
('board', 2623) 461 2162
('may', 2617) 1572 1045
('verdana', 2588) 2587 1
('thanks', 2583) 220 2363
('flowed', 2570) 2561 9
('know', 2568) 578 1990
('z', 2497) 2424 73
('h', 2479) 2066 413
('time', 2452) 1065 1387
('ascii', 2424) 1938 486
('arial', 2405) 2366 39
('opt', 2397) 2391 6
('want', 2356) 1245 1111
('could', 2283) 857 1426
('using', 2283) 281 2002
('left', 2236) 1910 326
('w', 2231) 1960 271
('need', 2159) 790 1369
('edu', 2148) 234 1914
('mail', 2043) 666 1377
('used', 2008) 839 1169
('way', 2006) 813 1193
('work', 1979) 504 1475
('wrote', 1931) 95 1836
('net', 1923) 1353 570
('mshtml', 1919) 1787 132
('make', 1912) 860 1052
('handyboard', 1870) 161 1709
('anyone', 1838) 114 1724
('go', 1803) 1010 793
('weight', 1797) 1743 54
('strong', 1795) 1731 64
('best', 1792) 1284 508
('company', 1762) 1601 161
('back', 1711) 1088 623
('product', 1709) 1575 134
('good', 1706) 525 1181
('email', 1696) 625 1071
('src', 1685) 1623 62
('price', 1680) 1549 131
('even', 1657) 1049 608
('much', 1640) 680 960
('world', 1633) 1378 255
('two', 1629) 507 1122
('many', 1624) 1072 552
('cellpadding', 1621) 1611 10
('img', 1613) 1601 12
('first', 1611) 727 884
('cellspacing', 1609) 1600 9
('day', 1602) 1354 248
('problem', 1584) 245 1339
('information', 1566) 834 732
('news', 1563) 1368 195
('top', 1557) 1312 245
('height', 1550) 1525 25
('co', 1536) 1294 242
('well', 1525) 684 841
('great', 1499) 1103 396
('try', 1488) 517 971
('following', 1482) 859 623
('still', 1476) 702 774
('said', 1474) 959 515
('yahoo', 1461) 1332 129
('effects', 1449) 1391 58
('class', 1431) 1265 166
('program', 1429) 401 1028
('find', 1410) 414 996
